Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,243.720001,251.820007,242.020004,247.279999,247.185608,37686800
2022-02-08,243.589996,252.300003,239.800003,251.080002,250.984177,41035900
2022-02-09,256.220001,267.250000,253.529999,267.049988,266.948059,52428200
2022-02-10,259.950012,269.250000,256.000000,258.239990,258.141418,51320000
2022-02-11,259.160004,261.519989,237.729996,239.490005,239.398590,60547200
2022-02-14,239.339996,248.750000,237.550003,242.669998,242.577377,44042400
2022-02-15,249.490005,265.450012,247.839996,264.950012,264.848877,69986900
2022-02-16,262.589996,265.820007,255.520004,265.109985,265.008789,73267600
2022-02-17,256.299988,257.850006,241.649994,245.070007,244.976471,81059500
2022-02-18,246.679993,249.860001,231.000000,236.419998,236.329773,76125500
2022-02-22,230.350006,240.639999,230.000000,233.899994,233.810730,63342200
2022-02-23,238.020004,241.550003,223.009995,223.869995,223.784561,56651100
2022-02-24,210.149994,238.000000,208.899994,237.479996,237.389359,73580100
2022-02-25,237.210007,242.169998,233.809998,241.570007,241.477798,52886600
2022-02-28,239.919998,246.649994,237.070007,243.850006,243.756943,47731900
2022-03-01,242.910004,243.770004,231.320007,234.770004,234.680405,41205600
2022-03-02,237.559998,244.089996,234.149994,242.199997,242.148804,38964200
2022-03-03,242.619995,243.259995,234.690002,237.139999,237.089874,36509500
2022-03-04,233.839996,236.800003,224.820007,229.360001,229.311523,43141500
2022-03-07,228.169998,230.330002,213.300003,213.520004,213.474869,45082100
2022-03-08,213.089996,223.729996,206.500000,215.139999,215.094528,55746700
2022-03-09,223.869995,232.199997,222.470001,230.139999,230.091354,49274200
2022-03-10,225.309998,227.880005,218.820007,226.580002,226.532120,42806600
2022-03-11,230.220001,231.449997,220.460007,221.000000,220.953293,36720900
2022-03-14,218.690002,222.619995,211.589996,213.300003,213.254913,38535400
2022-03-15,215.179993,230.380005,213.220001,229.729996,229.681442,49199600
2022-03-16,235.000000,245.970001,231.720001,244.960007,244.908234,67142200
2022-03-17,241.199997,248.419998,239.059998,247.660004,247.607666,47194100
2022-03-18,247.990005,265.690002,246.240005,264.529999,264.474091,73071900
2022-03-21,265.070007,271.519989,259.670013,267.339996,267.283478,59172700
2022-03-22,267.269989,272.380005,260.720001,265.239990,265.183929,54700700
2022-03-23,261.260010,266.119995,255.750000,256.339996,256.285828,50212000
2022-03-24,261.660004,283.200012,259.070007,281.500000,281.440491,87737900
2022-03-25,278.859985,283.579987,272.709991,276.920013,276.861481,57901600
2022-03-28,277.559998,282.500000,272.059998,282.190002,282.130371,42549400
2022-03-29,286.950012,289.459991,279.799988,286.559998,286.499420,48898400
2022-03-30,283.040009,284.959991,275.029999,276.899994,276.841461,46348700
2022-03-31,277.820007,282.480011,272.700012,272.859985,272.802307,52344000
2022-04-01,273.750000,274.959991,262.670013,267.119995,267.063538,51723500
2022-04-04,267.279999,275.579987,266.130005,273.600006,273.542175,39712000
2022-04-05,272.540009,273.190002,258.200012,259.309998,259.255188,43661500
2022-04-06,249.339996,253.000000,240.029999,244.070007,244.018417,70383300
2022-04-07,244.410004,247.220001,234.779999,242.080002,242.028839,55799200
2022-04-08,239.169998,239.229996,230.619995,231.190002,231.141144,52478100
2022-04-11,222.139999,223.199997,216.600006,219.169998,219.123672,57520700
2022-04-12,225.369995,227.250000,212.820007,215.039993,214.994537,66225800
2022-04-13,217.279999,225.000000,214.550003,222.029999,221.983078,51694300
2022-04-14,225.050003,227.770004,211.630005,212.580002,212.535065,56909700
2022-04-18,212.000000,220.880005,210.789993,217.830002,217.783966,52570100
2022-04-19,217.199997,223.729996,213.139999,221.979996,221.933075,51278100
2022-04-20,225.169998,226.699997,212.000000,214.820007,214.774597,46897400
2022-04-21,217.089996,223.919998,200.000000,201.830002,201.787338,65620900
2022-04-22,203.029999,204.860001,195.000000,195.149994,195.108749,62471300
2022-04-25,192.020004,199.449997,190.960007,199.020004,198.977936,64156600
2022-04-26,197.179993,197.880005,186.699997,187.880005,187.840302,65314300
2022-04-27,185.979996,191.669998,182.899994,184.149994,184.111069,49946000
2022-04-28,189.669998,200.369995,184.899994,197.820007,197.778198,57032700
2022-04-29,194.020004,201.279999,185.169998,185.470001,185.430801,50043500
2022-05-02,185.410004,195.740005,183.910004,195.330002,195.288712,57204900
2022-05-03,194.000000,198.250000,191.330002,196.020004,195.978577,47575100
2022-05-04,199.229996,204.000000,187.509995,203.339996,203.297012,64885500
2022-05-05,198.669998,199.250000,185.000000,188.440002,188.400177,62633100
2022-05-06,187.360001,195.119995,179.899994,186.750000,186.710526,63329700
2022-05-09,180.339996,182.550003,168.270004,169.500000,169.464172,64445500
2022-05-10,176.889999,181.979996,170.250000,175.949997,175.912811,76147400
2022-05-11,173.470001,177.529999,165.679993,166.300003,166.264847,67016700
2022-05-12,162.190002,167.880005,155.669998,161.750000,161.715820,70872800
2022-05-13,167.880005,179.279999,165.929993,177.059998,177.022568,67043700
2022-05-16,175.089996,177.880005,171.059998,172.639999,172.603516,52144600
2022-05-17,180.740005,183.710007,176.339996,181.770004,181.731583,58583000
2022-05-18,177.050003,181.179993,168.639999,169.380005,169.344208,54516100
2022-05-19,169.369995,176.869995,167.339996,171.240005,171.203812,62131000
2022-05-20,173.320007,174.100006,157.550003,166.940002,166.904724,73910500
2022-05-23,162.740005,169.149994,161.789993,168.979996,168.944275,63988900
2022-05-24,165.100006,165.970001,157.800003,161.539993,161.505844,58855000
2022-05-25,160.199997,171.110001,160.000000,169.750000,169.714127,78113200
2022-05-26,160.360001,180.919998,160.220001,178.509995,178.472260,99657500
2022-05-27,181.860001,188.809998,181.000000,188.110001,188.070236,73837900
2022-05-31,189.800003,192.000000,183.500000,186.720001,186.680542,66410000
2022-06-01,187.240005,190.529999,181.220001,183.199997,183.161270,54451400
2022-06-02,182.919998,196.190002,181.979996,195.919998,195.878586,64865600
2022-06-03,190.820007,193.320007,185.220001,187.199997,187.160431,59877900
2022-06-06,191.389999,193.369995,185.639999,187.860001,187.820297,42240600
2022-06-07,184.720001,190.000000,181.880005,189.259995,189.219986,38891400
2022-06-08,187.990005,191.800003,185.350006,186.479996,186.479996,36325200
2022-06-09,184.809998,189.330002,180.410004,180.479996,180.479996,39557400
2022-06-10,176.000000,176.970001,168.690002,169.740005,169.740005,46524800
2022-06-13,160.000000,163.119995,156.059998,156.470001,156.470001,60415300
2022-06-14,157.309998,160.660004,154.119995,158.360001,158.360001,46968000
2022-06-15,160.949997,168.679993,159.259995,165.270004,165.270004,56393600
2022-06-16,158.600006,159.419998,154.009995,156.009995,156.009995,54574900
2022-06-17,156.479996,159.949997,153.279999,158.800003,158.800003,63033400
2022-06-21,164.750000,170.080002,164.070007,165.660004,165.660004,48308900
2022-06-22,162.259995,166.619995,161.800003,163.600006,163.600006,43713500
2022-06-23,165.190002,165.850006,158.529999,162.250000,162.250000,46368000
2022-06-24,165.000000,171.399994,163.100006,171.259995,171.259995,47215300
2022-06-27,173.119995,173.300003,166.259995,168.690002,168.690002,42796800
2022-06-28,169.000000,172.020004,159.449997,159.820007,159.820007,46114900
2022-06-29,158.139999,158.199997,151.699997,155.419998,155.419998,48235200
2022-06-30,153.610001,155.669998,148.619995,151.589996,151.589996,68607000
2022-07-01,148.990005,150.630005,143.919998,145.229996,145.229996,57662300
2022-07-05,141.750000,149.710007,140.550003,149.639999,149.639999,65139700
2022-07-06,150.100006,153.190002,147.889999,151.300003,151.300003,52906600
2022-07-07,154.559998,159.449997,153.889999,158.580002,158.580002,49290300
2022-07-08,154.300003,160.369995,153.889999,158.380005,158.380005,46763500
2022-07-11,155.259995,155.270004,150.380005,151.520004,151.520004,43732100
2022-07-12,152.679993,154.309998,148.770004,150.820007,150.820007,45848300
2022-07-13,145.899994,153.750000,144.649994,151.639999,151.639999,52191800
2022-07-14,151.080002,154.729996,147.279999,153.720001,153.720001,45623500
2022-07-15,156.589996,157.820007,154.449997,157.619995,157.619995,38447100
2022-07-18,163.020004,168.970001,160.020004,161.009995,161.009995,67051700
2022-07-19,164.860001,171.100006,161.720001,169.919998,169.919998,70236600
2022-07-20,169.470001,179.330002,168.009995,178.070007,178.070007,76053800
2022-07-21,178.850006,181.440002,175.449997,180.500000,180.500000,55704900
2022-07-22,178.929993,179.669998,171.369995,173.190002,173.190002,53628300
